UserID,SessionCount
51794,75
53646,75
552,75
60721,75
62456,75
84051,75
14120,74
1874,74
19845,74
2107,74
24393,74
28115,74
29391,74
31336,74
32813,74
37598,74
43730,74
43844,74
52309,74
62804,74
64849,74
68764,74
6878,74
69589,74
7620,74
99881,74
101240,73
176768,73
179243,73
18283,73
19673,73
201615,73
211205,73
24755,73
27571,73
30031,73
3381,73
3502,73
36459,73
37062,73
395,73
41142,73
4180,73
4891,73
51329,73
545,73
63269,73
64025,73
66781,73
70842,73
81,73
82691,73
915,73
921,73
93358,73
94753,73
953,73
956,73
97151,73
10730,72
12935,72
15292,72
15860,72
16591,72
169202,72
1764,72
2002,72
20968,72
21012,72
21581,72
22880,72
2480,72
29780,72
34280,72
37442,72
40956,72
4834,72
53752,72
59495,72
61954,72
6232,72
6519,72
690,72
6925,72
72676,72
73916,72
75266,72
87238,72
90138,72
10041,71
10963,71
11061,71
11526,71
1343,71
1371,71
14046,71
1476,71
1520,71
176736,71
17987,71
2055,71
21781,71
22937,71
2500,71
2691,71
26942,71
3033,71
30793,71
35931,71
38423,71
46921,71
61682,71
63186,71
64275,71
67786,71
69058,71
7280,71
74743,71
8286,71
84192,71
85816,71
86882,71
905,71
9112,71
983,71
98919,71
99481,71
10627,70
12120,70
128739,70
1339,70
18154,70
183886,70
18708,70
217,70
243195,70
28199,70
3118,70
314159,70
3247,70
40426,70
44151,70
45155,70
46665,70
4729,70
5101,70
61487,70
61498,70
64548,70
6617,70
67256,70
74442,70
92995,70
10263,69
11109,69
11809,69
12815,69
14104,69
14533,69
16395,69
16402,69
19308,69
19508,69
2209,69
22781,69
2344,69
27901,69
28747,69
31913,69
32372,69
33926,69
3398,69
38268,69
397,69
41993,69
50630,69
52897,69
58868,69
60686,69
67659,69
87940,69
9086,69
93122,69
102657,68
10955,68
12353,68
1320,68
13296,68
16558,68
17076,68
18257,68
18539,68
19752,68
2113,68
22079,68
22977,68
23492,68
24958,68
31296,68
34546,68
37259,68
40658,68
4591,68
48282,68
529086,68
55386,68
612,68
6138,68
6224,68
65631,68
69839,68
73002,68
82763,68
8474,68
9343,68
94935,68
150729,67
16875,67
173485,67
176555,67
180839,67
21544,67
22497,67
2552,67
25875,67
28178,67
288275,67
30407,67
383369,67
41231,67
43491,67
46025,67
4726,67
5063,67
52232,67
5571,67
58691,67
60347,67
61421,67
66818,67
68829,67
73379,67
8303,67
85843,67
91864,67
99105,67
100271,66
108849,66
11116,66
11371,66
115506,66
120120,66
14400,66
14761,66
152586,66
16212,66
17956,66
179645,66
21359,66
2137,66
21873,66
22230,66
24348,66
26932,66
29377,66
29541,66
3100,66
39021,66
39948,66
42477,66
51438,66
51547,66
5226,66
61988,66
62330,66
6341,66
64920,66
66482,66
67117,66
689,66
6895,66
70886,66
78595,66
9065,66
10926,65
11143,65
13254,65
13752,65
140737,65
17034,65
1711,65
174658,65
181,65
19161,65
20808,65
